,transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name,station_poi_desc_cd
83,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,12,12,TAM,Tam Kontur,BUYUKCEKMECE,34,BEYLIKDUZU SONDURAK
84,2021-05-01,0,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,3,3,UCRETSIZ,Ucretsiz,KADIKOY,34A,SOGUTLUCESME 1 19052021 LLEGAL KULLANIM
85,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,3,3,TAM,Tam Kontur,KUCUKCEKMECE,34,KUCUKCEKMECE
86,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Tam Kontur,KUCUKCEKMECE,34,KUCUKCEKMECE
87,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Abonman,ESENYURT,34,BEYLIKDUZU BELEDIYESI
88,2021-05-01,0,1,OTOYOL,YUNUS EMRE MAHALLESI. - SISLI,Normal,1,1,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,49G,
89,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,UCRETSIZ,Ucretsiz,BAKIRKOY,34,ZEYTINBURNU
90,2021-05-01,0,1,OTOYOL,KADIKOY-SARIGAZI-YENIDOGAN,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,19S,
91,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,BAHCELIEVLER,34,BAHCELIEVLER
92,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,6,6,INDIRIMLI1,Indirimli Abonman,BAHCELIEVLER,34,YENIBOSNA
93,2021-05-01,0,1,OTOYOL,TUZLA-TOPKAPI,Normal,2,2,UCRETSIZ,Ucretsiz,BAKIRKOY,500T,
94,2021-05-01,0,1,OTOYOL,TARABYAUSTU - KABATAS,Normal,1,1,PERSONEL,Tam Kontur,BAKIRKOY,29C,
95,2021-05-01,0,1,OTOYOL,KADIKOY-SARIGAZI-YENIDOGAN,Normal,2,2,TAM,Tam Kontur,BAKIRKOY,19S,
96,2021-05-01,0,1,OTOYOL,KADIKOY-FINDIKLI MAHALLESI-YEDITEPE UNIVERSITESI,Aktarma,3,3,TAM,Tam Aktarma,BAKIRKOY,19F,
97,2021-05-01,0,1,OTOYOL,KADIKOY-BEYKOZ,Normal,2,2,UCRETSIZ,Ucretsiz,BAKIRKOY,15BK,
98,2021-05-01,0,1,OTOYOL,SULTANBEYLI-UMRANIYE,Aktarma,1,1,TAM,Tam Aktarma,BAKIRKOY,131,
99,2021-05-01,0,1,OTOYOL,KADIKOY-SIFA MAHALLESI,Normal,1,1,TAM,Tam Kontur,BAKIRKOY,130Ş,
